id,source,text,arguments
0,EGRAM,Crl stimulates the activity of sigma (S) led to an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase.,"{'0': 'Crl stimulates the activity of sigma (S)', '1': 'an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase'}"
1,EGRAM,"Disruption of the SNU246 gene in yeast was lethal and could lead to a splicing defect in vivo, indicating that the protein is essential for splicing.","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
2,EGRAM,"Genetic deficiency of GM2 activator can lead to a neurological disorder, an atypical form of Tay-Sachs disease (GM2 gangliosidosis variant AB).","{'0': 'Genetic deficiency of GM2 activator', '1': 'a neurological disorder'}"
3,EGRAM,"The mutations identified include: two frameshifts and a splice site mutation which led to truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations, two of which involve amino acids located within putative transmembrane domains.","{'0': 'two frameshifts and a splice site mutation', '1': 'truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations'}"
4,EGRAM,These data suggested that phosphorylation of the MuSK NPXY site led to recruitment of a phosphotyrosine-binding domain-containing protein that functions to stimulate phosphorylation and clustering of AchRs.,"{'0': 'phosphorylation of the MuSK NPXY site', '1': 'recruitment of a phosphotyrosine-binding domain-containing protein'}"
5,EGRAM,These results suggest that the distinct amino termini may lead to the targeting of individual VDAC isoforms to different cellular compartments.,"{'0': 'the distinct amino termini', '1': 'the targeting of individual VDAC isoforms to different cellular compartments'}"
6,EGRAM,This was caused by a point mutation (GTC----ATC) at codon 383 leading to the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter.,"{'0': 'a point mutation (GTC----ATC) at codon 383', '1': 'the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter'}"
7,EGRAM,"This, in turn, will lead to synergistic activation of the ANF and other MEF2 target promoters independently of the DNA-binding activity of MEF2.","{'0': 'This', '1': 'synergistic activation of the ANF and other MEF2 target promoters'}"
8,MEDLINE,"This patients DNA contains a C----A transversion in the splice acceptor sequence of the last intron of the only ERCC-3 allele that is detectably expressed, leading to a 4 bp insertion in the mRNA and an inactivating frameshift in the C-terminus of the protein.","{'0': 'a C----A transversion in the splice acceptor sequence of the last intron of the only ERCC-3 allele', '1': 'a 4 bp insertion in the mRNA and an inactivating frameshift in the C-terminus of the protein'}"
9,PERMUTATE,"7 missense mutations, 2 mutations can lead us to frameshift.","{'0': '7 missense mutations, 2 mutations', '1': 'frameshift'}"
10,PERMUTATE,"7 missense mutations, 2 mutations leads to frameshift (Figure 3A).","{'0': '7 missense mutations, 2 mutations', '1': 'frameshift'}"
11,PERMUTATE,"7 missense mutations, 2 mutations, in turn, has led to frameshift independently of the DNA-binding activity of MEF2.","{'0': '7 missense mutations, 2 mutations', '1': 'frameshift'}"
12,PERMUTATE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D leading to a synergistic 40-to 50-fold activation of the ANF promoter, and 1 mutation predicted to affect normal splicing).","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
13,PERMUTATE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (This leading to synergistic activation of the ANF and other MEF2 target promoters, and 1 mutation predicted to affect normal splicing).","{'0': 'This', '1': 'synergistic activation of the ANF and other MEF2 target promoters'}"
14,PERMUTATE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (Transduction of the marA region from a Mar strain that led to loss of OmpF, and 1 mutation predicted to affect normal splicing).","{'0': 'Transduction of the marA region from a Mar strain', '1': 'loss of OmpF'}"
15,PERMUTATE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (Transduction of the marA region from a Mar strain which lead to loss of OmpF, and 1 mutation predicted to affect normal splicing).","{'0': 'Transduction of the marA region from a Mar strain', '1': 'loss of OmpF'}"
16,PERMUTATE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (Transduction of the marA region from a Mar strain which led to loss of OmpF, and 1 mutation predicted to affect normal splicing).","{'0': 'Transduction of the marA region from a Mar strain', '1': 'loss of OmpF'}"
17,PERMUTATE,"Closer examination of the putative signal transduction pathway modulating htrA transcription leads to the identification of two new genes, an atypical form of Tay-Sachs disease (GM2 gangliosidosis variant AB).","{'0': 'Closer examination of the putative signal transduction pathway modulating htrA transcription', '1': 'the identification of two new genes'}"
18,PERMUTATE,Closer examination of the putative signal transduction pathway modulating htrA transcription may lead to the identification of two new genes.,"{'0': 'Closer examination of the putative signal transduction pathway modulating htrA transcription', '1': 'the identification of two new genes'}"
19,PERMUTATE,"Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D leads to a synergistic 40-to 50-fold activation of the ANF promoter, an atypical form of Tay-Sachs disease (GM2 gangliosidosis variant AB).","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
20,PERMUTATE,"Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D leads to a synergistic 40-to 50-fold activation of the ANF promoter.","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
21,PERMUTATE,"Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D led to a synergistic 40-to 50-fold activation of the ANF promoter.","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
22,PERMUTATE,"Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D, in turn, is leading to a synergistic 40-to 50-fold activation of the ANF promoter independently of the DNA-binding activity of MEF2.","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
23,PERMUTATE,"Crl stimulates the activity of sigma (S), in turn, is able to lead to an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase independently of the DNA-binding activity of MEF2.","{'0': 'Crl stimulates the activity of sigma (S)', '1': 'an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase'}"
24,PERMUTATE,"Crl stimulates the activity of sigma (S), in turn, leads to an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase independently of the DNA-binding activity of MEF2.","{'0': 'Crl stimulates the activity of sigma (S)', '1': 'an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase'}"
25,PERMUTATE,DNA (nCaRE)-ref1 interaction can lead to C2+e-mediated transcriptional suppression (Figure 3A).,"{'0': 'DNA (nCaRE)-ref1 interaction', '1': 'C2+e-mediated transcriptional suppression'}"
26,PERMUTATE,"DNA (nCaRE)-ref1 interaction has led to C2+e-mediated transcriptional suppression, an atypical form of Tay-Sachs disease (GM2 gangliosidosis variant AB).","{'0': 'DNA (nCaRE)-ref1 interaction', '1': 'C2+e-mediated transcriptional suppression'}"
27,PERMUTATE,DNA (nCaRE)-ref1 interaction led us to C2+e-mediated transcriptional suppression.,"{'0': 'DNA (nCaRE)-ref1 interaction', '1': 'C2+e-mediated transcriptional suppression'}"
28,PERMUTATE,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggested that 7 missense mutations, 2 mutations could lead to frameshift.","{'0': '7 missense mutations, 2 mutations', '1': 'frameshift'}"
29,PERMUTATE,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggested that Crl stimulates the activity of sigma (S) led to an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase.","{'0': 'Crl stimulates the activity of sigma (S)', '1': 'an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase'}"
30,PERMUTATE,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggested that This was able to lead to a substantial diversity of nebulin and nebulette isoforms.","{'0': 'This', '1': 'a substantial diversity of nebulin and nebulette isoforms'}"
31,PERMUTATE,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggested that a point mutation (GTC----ATC) at codon 383 had led to the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter.","{'0': 'a point mutation (GTC----ATC) at codon 383', '1': 'the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter'}"
32,PERMUTATE,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggests that phosphorylation of the MuSK NPXY site leads to recruitment of a phosphotyrosine-binding domain-containing protein.","{'0': 'phosphorylation of the MuSK NPXY site', '1': 'recruitment of a phosphotyrosine-binding domain-containing protein'}"
33,PERMUTATE,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggests that the sequence selection experiment is able to lead to the identification of the BRE.","{'0': 'the sequence selection experiment', '1': 'the identification of the BRE'}"
34,PERMUTATE,"Genetic deficiency of GM2 activator, in turn, is able to lead to a neurological disorder independently of the DNA-binding activity of MEF2.","{'0': 'Genetic deficiency of GM2 activator', '1': 'a neurological disorder'}"
35,PERMUTATE,"It has been shown that Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D, leading to a synergistic 40-to 50-fold activation of the ANF promoter.","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
36,PERMUTATE,These data suggest that Crl stimulates the activity of sigma (S) leads to an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase that functions to stimulate phosphorylation and clustering of AchRs.,"{'0': 'Crl stimulates the activity of sigma (S)', '1': 'an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase'}"
37,PERMUTATE,These data suggest that DNA (nCaRE)-ref1 interaction leads to C2+e-mediated transcriptional suppression that functions to stimulate phosphorylation and clustering of AchRs.,"{'0': 'DNA (nCaRE)-ref1 interaction', '1': 'C2+e-mediated transcriptional suppression'}"
38,PERMUTATE,These data suggest that Genetic deficiency of GM2 activator has led to a neurological disorder that functions to stimulate phosphorylation and clustering of AchRs.,"{'0': 'Genetic deficiency of GM2 activator', '1': 'a neurological disorder'}"
39,PERMUTATE,These data suggest that a point mutation (GTC----ATC) at codon 383 can lead to the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter that functions to stimulate phosphorylation and clustering of AchRs.,"{'0': 'a point mutation (GTC----ATC) at codon 383', '1': 'the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter'}"
40,PERMUTATE,These data suggest that a point mutation (GTC----ATC) at codon 383 has led to the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter that functions to stimulate phosphorylation and clustering of AchRs.,"{'0': 'a point mutation (GTC----ATC) at codon 383', '1': 'the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter'}"
41,PERMUTATE,"These data suggested that Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D led to a synergistic 40-to 50-fold activation of the ANF promoter that functions to stimulate phosphorylation and clustering of AchRs.","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
42,PERMUTATE,"This G:C base pair is also the strongest determinant in Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D which has led to a synergistic 40-to 50-fold activation of the ANF promoter (Lagrange et al., 1998).","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
43,PERMUTATE,"This G:C base pair is also the strongest determinant in DNA (nCaRE)-ref1 interaction which led to C2+e-mediated transcriptional suppression (Lagrange et al., 1998).","{'0': 'DNA (nCaRE)-ref1 interaction', '1': 'C2+e-mediated transcriptional suppression'}"
44,PERMUTATE,"This G:C base pair is also the strongest determinant in Transduction of the marA region from a Mar strain which leads to loss of OmpF (Lagrange et al., 1998).","{'0': 'Transduction of the marA region from a Mar strain', '1': 'loss of OmpF'}"
45,PERMUTATE,This can lead us to synergistic activation of the ANF and other MEF2 target promoters.,"{'0': 'This', '1': 'synergistic activation of the ANF and other MEF2 target promoters'}"
46,PERMUTATE,This has led us to a substantial diversity of nebulin and nebulette isoforms.,"{'0': 'This', '1': 'a substantial diversity of nebulin and nebulette isoforms'}"
47,PERMUTATE,This has led us to synergistic activation of the ANF and other MEF2 target promoters.,"{'0': 'This', '1': 'synergistic activation of the ANF and other MEF2 target promoters'}"
48,PERMUTATE,This led to a substantial diversity of nebulin and nebulette isoforms (Figure 3A).,"{'0': 'This', '1': 'a substantial diversity of nebulin and nebulette isoforms'}"
49,PERMUTATE,This was caused by This that leads to a substantial diversity of nebulin and nebulette isoforms.,"{'0': 'This', '1': 'a substantial diversity of nebulin and nebulette isoforms'}"
50,PERMUTATE,This was caused by Transduction of the marA region from a Mar strain which has led to loss of OmpF.,"{'0': 'Transduction of the marA region from a Mar strain', '1': 'loss of OmpF'}"
51,PERMUTATE,"This, in turn, is able to lead to a substantial diversity of nebulin and nebulette isoforms independently of the DNA-binding activity of MEF2.","{'0': 'This', '1': 'a substantial diversity of nebulin and nebulette isoforms'}"
52,PERMUTATE,Transduction of the marA region from a Mar strain has led to loss of OmpF (Figure 3A).,"{'0': 'Transduction of the marA region from a Mar strain', '1': 'loss of OmpF'}"
53,PERMUTATE,"Transduction of the marA region from a Mar strain has led to loss of OmpF, an atypical form of Tay-Sachs disease (GM2 gangliosidosis variant AB).","{'0': 'Transduction of the marA region from a Mar strain', '1': 'loss of OmpF'}"
54,PERMUTATE,Transduction of the marA region from a Mar strain led us to loss of OmpF.,"{'0': 'Transduction of the marA region from a Mar strain', '1': 'loss of OmpF'}"
55,PERMUTATE,Transduction of the marA region from a Mar strain led us to loss of OmpF.,"{'0': 'Transduction of the marA region from a Mar strain', '1': 'loss of OmpF'}"
56,PERMUTATE,a point mutation (GTC----ATC) at codon 383 leads to the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter (Figure 3A).,"{'0': 'a point mutation (GTC----ATC) at codon 383', '1': 'the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter'}"
57,PERMUTATE,phosphorylation of the MuSK NPXY site that leads to recruitment of a phosphotyrosine-binding domain-containing protein.,"{'0': 'phosphorylation of the MuSK NPXY site', '1': 'recruitment of a phosphotyrosine-binding domain-containing protein'}"
58,PERMUTATE,"phosphorylation of the MuSK NPXY site, in turn, led to recruitment of a phosphotyrosine-binding domain-containing protein independently of the DNA-binding activity of MEF2.","{'0': 'phosphorylation of the MuSK NPXY site', '1': 'recruitment of a phosphotyrosine-binding domain-containing protein'}"
59,PERMUTATE,the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter was led to by a point mutation (GTC----ATC) at codon 383.,"{'0': 'a point mutation (GTC----ATC) at codon 383', '1': 'the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter'}"
60,PERMUTATE,"the sequence selection experiment has led to the identification of the BRE, an atypical form of Tay-Sachs disease (GM2 gangliosidosis variant AB).","{'0': 'the sequence selection experiment', '1': 'the identification of the BRE'}"
61,PERMUTATE,the sequence selection experiment lead to the identification of the BRE.,"{'0': 'the sequence selection experiment', '1': 'the identification of the BRE'}"
62,PERMUTATE,the sequence selection experiment led us to the identification of the BRE.,"{'0': 'the sequence selection experiment', '1': 'the identification of the BRE'}"
63,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14 which led to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S), and 1 mutation predicted to affect normal splicing).","{'0': 'G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
64,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14 that led to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S), and 1 mutation predicted to affect normal splicing).","{'0': 'G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
65,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (a point mutation at the 5 splicing site of the third intron that lead to ligation of the second to the fourth exon, and 1 mutation predicted to affect normal splicing).","{'0': 'a point mutation at the 5 splicing site of the third intron', '1': 'ligation of the second to the fourth exon'}"
66,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (inactivation of the MEF2C gene that lead to cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5, and 1 mutation predicted to affect normal splicing).","{'0': 'inactivation of the MEF2C gene', '1': 'cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5'}"
67,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (inactivation of the MEF2C gene that lead to cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5, and 1 mutation predicted to affect normal splicing).","{'0': 'inactivation of the MEF2C gene', '1': 'cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5'}"
68,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (the distinct amino termini that led to the targeting of individual VDAC isoforms to different cellular compartments, and 1 mutation predicted to affect normal splicing).","{'0': 'the distinct amino termini', '1': 'the targeting of individual VDAC isoforms to different cellular compartments'}"
69,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (the distinct amino termini which lead to the targeting of individual VDAC isoforms to different cellular compartments, and 1 mutation predicted to affect normal splicing).","{'0': 'the distinct amino termini', '1': 'the targeting of individual VDAC isoforms to different cellular compartments'}"
70,REPLACE,"Disruption of the SNU246 gene in yeast has led us to a splicing defect in vivo, indicating that the protein is essential for splicing.","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
71,REPLACE,"Disruption of the SNU246 gene in yeast lead to a splicing defect in vivo, indicating that the protein is essential for splicing.","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
72,REPLACE,"Disruption of the SNU246 gene in yeast led to a splicing defect in vivo, indicating that the protein is essential for splicing (Figure 3A).","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
